first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Donald,Trump,GOP,8639,19838,0,9.0,X,True,0.7164,AL,01001,likely-r
Joe,Biden,Dem,1036,7503,0,,,,0.271,AL,01001,likely-r
Jo,Jorgensen,Lib,67957,350,0,,,,0.0126,AL,01001,likely-r
Donald,Trump,GOP,8639,83544,0,9.0,X,True,0.764,AL,01003,likely-r
Joe,Biden,Dem,1036,24578,0,,,,0.2248,AL,01003,likely-r
Jo,Jorgensen,Lib,67957,1229,0,,,,0.0112,AL,01003,likely-r
Donald,Trump,GOP,8639,5622,0,9.0,X,True,0.5351,AL,01005,likely-r
Joe,Biden,Dem,1036,4816,0,,,,0.4584,AL,01005,likely-r
Jo,Jorgensen,Lib,67957,68,0,,,,0.0065,AL,01005,likely-r
Donald,Trump,GOP,8639,7525,352,9.0,X,True,0.7851,AL,01007,likely-r
Joe,Biden,Dem,1036,1986,215,,,,0.2072,AL,01007,likely-r
Jo,Jorgensen,Lib,67957,74,4,,,,0.0077,AL,01007,likely-r
Donald,Trump,GOP,8639,24711,0,9.0,X,True,0.8966,AL,01009,likely-r
Joe,Biden,Dem,1036,2640,0,,,,0.0958,AL,01009,likely-r
Jo,Jorgensen,Lib,67957,209,0,,,,0.0076,AL,01009,likely-r
Joe,Biden,Dem,1036,3446,0,,,,0.7473,AL,01011,likely-r
Donald,Trump,GOP,8639,1146,0,9.0,X,True,0.2485,AL,01011,likely-r
Jo,Jorgensen,Lib,67957,19,0,,,,0.0041,AL,01011,likely-r
Donald,Trump,GOP,8639,5458,429,9.0,X,True,0.5756,AL,01013,likely-r
Joe,Biden,Dem,1036,3965,616,,,,0.4182,AL,01013,likely-r
Jo,Jorgensen,Lib,67957,59,0,,,,0.0062,AL,01013,likely-r
Donald,Trump,GOP,8639,35101,0,9.0,X,True,0.69,AL,01015,likely-r
Joe,Biden,Dem,1036,15216,0,,,,0.2991,AL,01015,likely-r
Jo,Jorgensen,Lib,67957,553,0,,,,0.0109,AL,01015,likely-r
Donald,Trump,GOP,8639,8753,0,9.0,X,True,0.5736,AL,01017,likely-r
Joe,Biden,Dem,1036,6365,0,,,,0.4171,AL,01017,likely-r
Jo,Jorgensen,Lib,67957,141,0,,,,0.0092,AL,01017,likely-r
Donald,Trump,GOP,8639,10583,0,9.0,X,True,0.8612,AL,01019,likely-r
