state,district,candidate,party,votes
alabama,cd01,Carl,gop,"210,636"
alabama,cd01,Averhart,dem,"115,592"
alabama,cd02,Moore,gop,"197,329"
alabama,cd02,Harvey-Hall,dem,"104,592"
alabama,cd03,Rogers*,gop,"216,700"
alabama,cd03,Winfrey,dem,"103,874"
alabama,cd04,Aderholt*,gop,"257,201"
alabama,cd04,Neighbors,dem,"52,688"
alabama,cd05,Brooks*,gop,0
alabama,cd06,Palmer*,gop,0
alabama,cd07,Sewell*,dem,0
alaska,cd00,Young*,gop,"159,428"
alaska,cd00,Galvin,dem,"118,765"
arizona,cd01,O'Halleran*,dem,"187,560"
arizona,cd01,Shedd,gop,"175,811"
arizona,cd02,Kirkpatrick*,dem,"206,948"
arizona,cd02,Martin,gop,"166,214"
arizona,cd03,Grijalva*,dem,"171,797"
arizona,cd03,Wood,gop,"94,265"
arizona,cd04,Gosar*,gop,"277,535"
arizona,cd04,DiSanto,dem,"120,316"
arizona,cd05,Biggs*,gop,"261,868"
arizona,cd05,Greene,dem,"182,812"
arizona,cd06,Schweikert*,gop,"217,390"
arizona,cd06,Tipirneni,dem,"199,228"
arizona,cd07,Gallego*,dem,"165,021"
arizona,cd07,Barnett,gop,"50,106"
arizona,cd08,Lesko*,gop,"251,209"
arizona,cd08,Muscato,dem,"170,484"
arizona,cd09,Stanton*,dem,"216,545"
arizona,cd09,Giles,gop,"134,870"
arkansas,cd01,Crawford*,gop,0
arkansas,cd02,Hill*,gop,"182,248"
arkansas,cd02,Elliott,dem,"145,255"
arkansas,cd03,Womack*,gop,"213,944"
arkansas,cd03,Williams,dem,"105,329"
arkansas,cd04,Westerman*,gop,"189,901"
arkansas,cd04,Hanson,dem,"74,777"
california,cd01,LaMalfa*,gop,"190,731"
california,cd01,Denney,dem,"145,100"
california,cd02,Huffman*,dem,"244,315"
california,cd02,Mensing,gop,"67,823"
california,cd03,Garamendi*,dem,"153,847"
california,cd03,Hamilton,gop,"127,254"
california,cd04,McClintock*,gop,"235,033"
california,cd04,Kennedy,dem,"186,229"
california,cd05,Thompson*,dem,"232,538"
california,cd05,Giblin,gop,"67,209"
california,cd06,Matsui*,dem,"171,680"
california,cd06,Bish,gop,"58,260"
california,cd07,Bera*,dem,"171,308"
california,cd07,Patterson,gop,"121,431"
california,cd08,Obernolte,gop,"130,587"
california,cd08,Bubser,dem,"103,512"
california,cd09,McNerney*,dem,"138,758"
california,cd09,Amador,gop,"95,914"
california,cd10,Harder*,dem,"144,702"
california,cd10,Howze,gop,"113,383"
california,cd11,DeSaulnier*,dem,"266,074"
california,cd11,Sharma,gop,"97,913"
california,cd12,Pelosi*,dem,"280,133"
california,cd12,Buttar,dem,"80,495"
california,cd13,Lee*,dem,"318,973"
california,cd13,Piterman,gop,"33,642"
california,cd14,Speier*,dem,"268,594"
california,cd14,Petel,gop,"70,009"
california,cd15,Swalwell*,dem,"238,322"
california,cd15,Hayden,gop,"96,920"
california,cd16,Costa*,dem,"121,592"
california,cd16,Cookingham,gop,"82,596"
california,cd17,Khanna*,dem,"203,934"
california,cd17,Tandon,gop,"81,851"
california,cd18,Eshoo*,dem,"208,750"
california,cd18,Kumar,dem,"121,397"
california,cd19,Lofgren*,dem,"212,908"
california,cd19,Aguilera,gop,"83,786"
california,cd20,Panetta*,dem,"228,981"
california,cd20,Gorman,gop,"68,425"
california,cd21,Valadao,gop,"72,350"
california,cd21,Cox*,dem,"68,324"
california,cd22,Nunes*,gop,"167,316"
california,cd22,Arballo,dem,"141,220"
california,cd23,McCarthy*,gop,"124,925"
california,cd23,Mangone,dem,"85,158"
california,cd24,Carbajal*,dem,"206,265"
california,cd24,Caldwell,gop,"144,402"
california,cd25,Garcia*,gop,"165,178"
california,cd25,Smith,dem,"165,019"
california,cd26,Brownley*,dem,"206,510"
california,cd26,Baldwin-Kennedy,gop,"134,000"
california,cd27,Chu*,dem,"215,719"
california,cd27,Nalbandian,gop,"92,335"
california,cd28,Schiff*,dem,"238,759"
california,cd28,Early,gop,"88,923"
california,cd29,Cardenas*,dem,"116,314"
california,cd29,Duenas,dem,"88,641"
california,cd30,Sherman*,dem,"235,232"
california,cd30,Reed,gop,"102,228"
california,cd31,Aguilar*,dem,"144,558"
california,cd31,Gibboney,gop,"89,934"
california,cd32,Napolitano*,dem,"168,373"
california,cd32,Scott,gop,"84,574"
california,cd33,Lieu*,dem,"251,944"
california,cd33,Bradley,gop,"120,136"
california,cd34,Gomez*,dem,"105,758"
california,cd34,Kim,dem,"93,501"
california,cd35,Torres*,dem,"134,349"
california,cd35,Cargile,gop,"59,948"
california,cd36,Ruiz*,dem,"132,290"
california,cd36,Cruz,gop,"85,366"
california,cd37,Bass*,dem,"248,958"
california,cd37,Webber,gop,"40,146"
california,cd38,Sanchez*,dem,"185,609"
california,cd38,Tolar,dem,"64,034"
california,cd39,Kim,gop,"168,858"
california,cd39,Cisneros*,dem,"164,813"
california,cd40,Roybal-Allard*,dem,"131,665"
california,cd40,Delgado,gop,"48,839"
california,cd41,Takano*,dem,"120,995"
california,cd41,Smith,gop,"68,207"
california,cd42,Calvert*,gop,"153,765"
california,cd42,O'Mara,dem,"118,487"
california,cd43,Waters*,dem,"194,194"
california,cd43,Collins,gop,"76,507"
california,cd44,Barragan*,dem,"136,209"
california,cd44,Joya,dem,"63,877"
california,cd45,Porter*,dem,"219,434"
california,cd45,Raths,gop,"190,996"
california,cd46,Correa*,dem,"155,498"
california,cd46,Waters,gop,"70,450"
california,cd47,Lowenthal*,dem,"193,158"
california,cd47,Briscoe,gop,"111,830"
california,cd48,Steel,gop,"199,760"
california,cd48,Rouda*,dem,"192,012"
california,cd49,Levin*,dem,"202,988"
california,cd49,Maryott,gop,"178,737"
california,cd50,Issa,gop,"188,747"
california,cd50,Campa-Najjar,dem,"160,785"
california,cd51,Vargas*,dem,"155,457"
california,cd51,Hidalgo,gop,"70,166"
california,cd52,Peters*,dem,"242,002"
california,cd52,DeBello,gop,"150,910"
california,cd53,Jacobs,dem,"197,351"
california,cd53,Gomez,dem,"134,205"
colorado,cd01,DeGette*,dem,"305,804"
colorado,cd01,Bolling,gop,"94,939"
colorado,cd02,Neguse*,dem,"309,226"
colorado,cd02,Winn,gop,"179,428"
colorado,cd03,Boebert,gop,"215,279"
colorado,cd03,Mitsch Bush,dem,"190,695"
colorado,cd04,Buck*,gop,"282,265"
colorado,cd04,McCorkle,dem,"171,385"
colorado,cd05,Lamborn*,gop,"246,828"
colorado,cd05,Freeland,dem,"159,930"
colorado,cd06,Crow*,dem,"248,549"
colorado,cd06,House,gop,"174,088"
colorado,cd07,Perlmutter*,dem,"249,754"
colorado,cd07,Stockham,gop,"158,801"
connecticut,cd01,Larson*,dem,"222,643"
connecticut,cd01,Fay,gop,"122,107"
connecticut,cd02,Courtney*,dem,"218,012"
connecticut,cd02,Anderson,gop,"140,314"
connecticut,cd03,DeLauro*,dem,"203,001"
connecticut,cd03,Streicker,gop,"137,662"
connecticut,cd04,Himes*,dem,"224,878"
connecticut,cd04,Riddle,gop,"130,622"
connecticut,cd05,Hayes*,dem,"192,484"
connecticut,cd05,Sullivan,gop,"151,987"
delaware,cd00,Rochester*,dem,"280,612"
delaware,cd00,Murphy,gop,"195,708"
florida,cd01,Gaetz*,gop,"282,980"
florida,cd01,Ehr,dem,"148,948"
florida,cd02,Dunn*,gop,0
florida,cd03,Cammack,gop,"222,873"
florida,cd03,Christensen,dem,"167,050"
florida,cd04,Rutherford*,gop,"307,779"
florida,cd04,Deegan,dem,"195,652"
florida,cd05,Lawson*,dem,"218,483"
florida,cd05,Adler,gop,"117,199"
florida,cd06,Waltz*,gop,"265,041"
florida,cd06,Curtis,dem,"172,064"
florida,cd07,Murphy*,dem,"224,561"
florida,cd07,Valentin,gop,"175,526"
florida,cd08,Posey*,gop,"281,869"
florida,cd08,Kennedy,dem,"177,531"
florida,cd09,Soto*,dem,"240,285"
florida,cd09,Olson,gop,"188,622"
florida,cd10,Demings*,dem,"239,238"
florida,cd10,Francois,gop,"136,790"
florida,cd11,Webster*,gop,"316,655"
florida,cd11,Cottrell,dem,"157,860"
florida,cd12,Bilirakis*,gop,"284,680"
florida,cd12,Walker,dem,"167,989"
florida,cd13,Crist*,dem,"215,179"
florida,cd13,Luna,gop,"190,547"
florida,cd14,Castor*,dem,"223,227"
florida,cd14,Quinn,gop,"147,276"
florida,cd15,Franklin,gop,"215,839"
florida,cd15,Cohn,dem,"173,700"
florida,cd16,Buchanan*,gop,"268,129"
florida,cd16,Good,dem,"214,697"
florida,cd17,Steube*,gop,"266,180"
florida,cd17,Ellison,dem,"140,268"
florida,cd18,Mast*,gop,"252,674"
florida,cd18,Keith,dem,"185,949"
florida,cd19,Donalds,gop,"271,296"
florida,cd19,Banyai,dem,"171,420"
florida,cd20,Hastings*,dem,"252,724"
florida,cd20,Musselwhite,gop,"68,486"
florida,cd21,Frankel*,dem,"235,854"
florida,cd21,Loomer,gop,"156,670"
florida,cd22,Deutch*,dem,"235,034"
florida,cd22,Pruden,gop,"166,117"
florida,cd23,Wasserman Schultz*,dem,"220,856"
florida,cd23,Spalding,gop,"158,631"
florida,cd24,Wilson*,dem,"218,655"
florida,cd24,Spicer,gop,"59,016"
florida,cd25,Diaz-Balart*,gop,0
florida,cd26,Gimenez,gop,"177,141"
florida,cd26,Mucarsel-Powell*,dem,"165,301"
florida,cd27,Salazar,gop,"175,984"
florida,cd27,Shalala*,dem,"166,568"
georgia,cd01,Carter*,gop,"189,567"
georgia,cd01,Griggs,dem,"135,335"
georgia,cd02,Bishop*,dem,"161,398"
georgia,cd02,Cole,gop,"111,615"
georgia,cd03,Ferguson*,gop,"240,132"
georgia,cd03,Almonord,dem,"129,049"
georgia,cd04,Johnson*,dem,"278,813"
